hotel_id,room_id,name,amenities
B-78980,RB-63693,"Deluxe, 1 Twin","Free newspaper|Free bottled water|Non-Smoking|Free newspaper|Television|Turndown service|Premium bedding|Satellite TV service|Iron/ironing board (on request)|Laptop-friendly workspace|In-room climate control (air conditioning)|Blackout drapes/curtains|Coffee/tea maker|Wardrobe or closet|Memory foam mattress|Coffee/tea maker|Daily housekeeping|Memory foam mattress|Individually decorated|Daily housekeeping|Free WiFi|Individually decorated|Individually furnished|Free WiFi|HDTV|Bidet|Hypo-allergenic bedding available|Phone|Non-Smoking|Television|Turndown service|Premium bedding|Satellite TV service|Iron/ironing board (on request)|Laptop-friendly workspace|In-room climate control (air conditioning)|Blackout drapes/curtains|Wardrobe or closet|Individually furnished|HDTV|Bidet|Hypo-allergenic bedding available|Desk|Phone|Bathtub only|Desk|Designer toiletries|Bathtub only|No cribs (infant beds)|Designer toiletries|Dial-up Internet access (surcharge)|No cribs (infant beds)|Towels provided|Dial-up Internet access (surcharge)|Premium TV channels|Bedsheets provided|Minibar (stocked, some free items)|Porch or lanai|Towels provided|Premium TV channels|Bedsheets provided|Minibar (stocked, some free items)|Connecting/adjoining rooms available|Porch or lanai|Egyptian-cotton sheets|Connecting/adjoining rooms available|DVD player|Egyptian-cotton sheets|TV size measurement: inch|DVD player|Slippers|TV size measurement: inch|In-room massage available|Slippers|Bathrobes|Down comforter|Hair dryer|TV size: 32|In-room massage available|Bathrobes|Down comforter|Hair dryer|In-room safe|TV size: 32|Room service (24 hours)|In-room safe|LCD TV|Room service (24 hours)|Free bottled water|LCD TV"
B-53430,RB-61536,"Deluxe, Triple",private-bathroom
B-17718,RB-59047,"Standard, Single",
B-72086,RB-20543,Twin Room,Mirror|Linens|Flat-screen TV|Wardrobe/closet|Attached washroom|Ironing facilities|Trash can|Smoke detector|Toiletries|Fan|Water bottle|Safe|Air conditioning|TV|Adapter|Towels|Desk|Soundproof|Tea/coffee maker|Shower|Private bathroom|Hairdryer|Telephone|Satellite channels|Smoking policy – non-smoking available|Minibar|Fire extinguisher|Clothes rack|Electric kettle
B-57423,RB-81853,Executive,Non-Smoking|Television|Turndown service|Premium bedding|Chef|Electric kettle|Satellite TV service|Iron/ironing board (on request)|Soundproofed rooms|Laptop-friendly workspace|Window screens|Window screens|Separate dining area|Separate dining area|Minibar|Minibar|Daily housekeeping|Daily housekeeping|Free WiFi|Free WiFi|Individually furnished|Individually furnished|Phone|Desk|No rollaway/extra beds|Restaurant dining guide|Non-Smoking|Television|Turndown service|Premium bedding|Chef|Electric kettle|Satellite TV service|Iron/ironing board (on request)|Soundproofed rooms|Laptop-friendly workspace|Phone|Desk|No rollaway/extra beds|Restaurant dining guide|Towels provided|Towels provided|Premium TV channels|Premium TV channels|Soap|Soap|LED TV|LED TV|Toilet paper|Toilet paper|Shower only|Shower only|Wireless internet access|Shampoo|Egyptian-cotton sheets|TV size measurement: inch|Wireless internet access|Shampoo|Egyptian-cotton sheets|TV size measurement: inch|Slippers|Slippers|Private bathroom|Private bathroom|Free toiletries|Free toiletries|Wheelchair accessible|Wheelchair accessible|Hair dryer|Hair dryer|Air conditioning|Air conditioning|TV size: 42|Free tea bags/instant coffee|Rainfall showerhead|In-room safe|TV size: 42|Free tea bags/instant coffee|Rainfall showerhead|In-room safe|Fireplace|Fireplace|Separate sitting area|Separate sitting area|Free bottled water|Free bottled water|Free cribs/infant beds|Free cribs/infant beds
B-11532,RB-02122,Run of House,
B-58374,RB-30016,Run of House,
B-00910,RB-27016,Run of House,
B-23652,RB-46729,"Double, 1 Double or 1 King, Panoramic View",
B-01096,RB-63505,Double Room,Balcony|Flat-panel TV|WiFi speed - 25+ Mbps|Balcony|Towels provided|Non-Smoking|Soap|Toilet paper|Shower only|Wireless internet access|Shampoo|Laptop-friendly workspace|Electrical adapters/chargers|In-room climate control (air conditioning)|Separate dining area|Electrical adapters/chargers|Blackout drapes/curtains|Separate dining area|Private bathroom|Blackout drapes/curtains|Wardrobe or closet|Private bathroom|Daily housekeeping|Wardrobe or closet|Free WiFi|Daily housekeeping|Iron/ironing board|Free WiFi|Phone|Separate sitting area|WiFi speed - 25+ Mbps|Towels provided|Non-Smoking|Soap|Toilet paper|Shower only|Wireless internet access|Shampoo|Laptop-friendly workspace|In-room climate control (air conditioning)|Iron/ironing board|Phone|Desk|Separate sitting area|Flat-panel TV|Desk
